src_FID,nbr_FID
0,1
0,2
0,20
0,21
1,0
1,2
1,10
1,20
2,0
2,1
2,10
2,21
3,4
3,28
3,67
3,91
3,94
3,104
4,3
4,67
4,71
4,92
4,94
5,6
5,23
5,40
5,61
5,63
5,68
5,72
5,109
6,5
6,27
6,28
6,67
6,72
6,109
7,13
7,14
7,27
7,91
7,104
7,109
7,120
8,11
8,12
8,76
8,106
8,108
8,120
9,15
9,16
9,17
9,18
9,19
9,20
10,1
10,2
10,20
10,21
10,23
10,41
10,43
10,45
11,8
11,12
11,13
11,14
11,76
11,78
12,8
12,11
12,13
12,120
13,7
13,11
13,12
13,14
13,120
14,7
14,11
14,13
14,78
14,109
15,9
15,16
15,17
15,53
15,63
16,9
16,15
16,20
16,21
16,40
16,63
17,9
17,15
17,18
17,53
17,55
17,57
17,62
18,9
18,17
18,19
18,55
19,9
19,18
19,20
19,81
20,0
20,1
20,9
20,10
20,16
20,19
20,21
20,43
20,81
21,0
21,2
21,10
21,16
21,20
21,23
21,24
21,40
22,30
22,31
22,32
22,33
22,34
23,5
23,10
23,21
23,24
23,40
23,41
23,42
23,109
24,21
24,23
24,40
25,26
25,43
25,44
25,90
25,110
26,25
26,44
26,110
26,111
26,117
27,6
27,7
27,28
27,91
27,109
28,3
28,6
28,27
28,67
28,91
29,31
29,35
29,36
30,22
30,32
30,33
30,60
30,61
30,65
31,22
31,29
31,32
31,34
31,35
32,22
32,30
32,31
32,35
32,61
33,22
33,30
33,34
33,65
34,22
34,31
34,33
35,29
35,31
35,32
35,36
35,39
35,61
36,29
36,35
36,37
36,38
36,39
36,70
37,36
37,38
37,39
37,68
37,70
38,36
38,37
38,39
39,35
39,36
39,37
39,38
39,61
39,68
40,5
40,16
40,21
40,23
40,24
40,63
41,10
41,23
41,42
41,45
41,47
41,54
41,75
42,23
42,41
42,54
42,109
43,10
43,20
43,25
43,44
43,45
43,81
43,89
43,90
44,25
44,26
44,43
44,45
44,46
44,47
44,49
44,50
44,51
44,117
45,10
45,41
45,43
45,44
45,47
45,48
45,50
45,51
45,52
46,44
46,47
46,75
46,99
46,102
46,117
47,41
47,44
47,45
47,46
47,48
47,75
48,45
48,47
49,44
49,50
49,51
49,52
50,44
50,45
50,49
50,52
51,44
51,45
51,49
51,52
52,45
52,49
52,50
52,51
53,15
53,17
53,58
53,59
53,62
53,63
54,41
54,42
54,56
54,75
54,109
55,17
55,18
55,57
56,54
56,75
56,109
57,17
57,55
57,62
58,53
58,59
58,62
58,64
58,65
58,74
59,53
59,58
59,60
59,63
59,74
60,30
60,59
60,61
60,63
60,65
60,74
61,5
61,30
61,32
61,35
61,39
61,60
61,63
61,68
62,17
62,53
62,57
62,58
63,5
63,15
63,16
63,40
63,53
63,59
63,60
63,61
64,58
65,30
65,33
65,58
65,60
65,74
66,69
66,70
66,71
66,77
67,3
67,4
67,6
67,28
67,71
67,72
67,73
68,5
68,37
68,39
68,61
68,69
68,70
68,72
68,73
69,66
69,68
69,70
69,72
69,77
70,36
70,37
70,66
70,68
70,69
71,4
71,66
71,67
71,72
71,77
72,5
72,6
72,67
72,68
72,69
72,71
72,73
72,77
73,67
73,68
73,72
74,58
74,59
74,60
74,65
75,41
75,46
75,47
75,54
75,56
75,76
75,78
75,101
75,102
75,109
76,8
76,11
76,75
76,78
76,101
76,106
77,66
77,69
77,71
77,72
78,11
78,14
78,75
78,76
78,109
79,99
79,102
79,107
79,108
80,82
80,84
80,85
80,87
81,19
81,20
81,43
81,88
81,89
82,80
82,83
82,84
82,85
83,82
83,84
83,88
83,90
84,80
84,82
84,83
84,86
84,87
84,90
84,114
85,80
85,82
86,84
86,90
86,110
86,114
87,80
87,84
87,113
87,114
88,81
88,83
88,89
88,90
89,43
89,81
89,88
89,90
90,25
90,43
90,83
90,84
90,86
90,88
90,89
90,110
91,3
91,7
91,27
91,28
91,104
92,4
92,94
92,95
93,94
93,104
93,108
93,120
94,3
94,4
94,92
94,93
94,95
94,96
94,103
94,104
95,92
95,94
96,94
96,97
96,103
97,96
97,103
98,99
98,100
98,117
99,46
99,79
99,98
99,102
99,117
100,98
100,115
100,117
100,121
101,75
101,76
101,102
101,106
101,107
102,46
102,75
102,79
102,99
102,101
102,107
103,94
103,96
103,97
104,3
104,7
104,91
104,93
104,94
104,120
105,106
105,107
105,108
106,8
106,76
106,101
106,105
106,107
106,108
107,79
107,101
107,102
107,105
107,106
107,108
108,8
108,79
108,93
108,105
108,106
108,107
108,120
109,5
109,6
109,7
109,14
109,23
109,27
109,42
109,54
109,56
109,75
109,78
110,25
110,26
110,86
110,90
110,111
110,113
110,114
110,118
110,119
111,26
111,110
111,117
111,118
111,121
112,113
112,116
112,118
112,119
112,121
113,87
113,110
113,112
113,114
113,119
114,84
114,86
114,87
114,110
114,113
115,100
115,116
115,121
116,112
116,115
116,121
117,26
117,44
117,46
117,98
117,99
117,100
117,111
117,121
118,110
118,111
118,112
118,119
118,121
119,110
119,112
119,113
119,118
120,7
120,8
120,12
120,13
120,93
120,104
120,108
121,100
121,111
121,112
121,115
121,116
121,117
121,118
