FID,name
0,北塔区
1,大祥区
2,双清区
3,沅江市
4,南县
5,安化县
6,桃江县
7,望城区
8,雨花区
9,武冈市
10,邵东市
11,天心区
12,芙蓉区
13,开福区
14,岳麓区
15,洞口县
16,隆回县
17,绥宁县
18,城步苗族自治县
19,新宁县
20,邵阳县
21,新邵县
22,吉首市
23,涟源市
24,冷水江市
25,常宁市
26,耒阳市
27,赫山区
28,资阳区
29,龙山县
30,泸溪县
31,保靖县
32,古丈县
33,凤凰县
34,花垣县
35,永顺县
36,桑植县
37,慈利县
38,武陵源区
39,永定区
40,新化县
41,双峰县
42,娄星区
43,祁东县
44,衡南县
45,衡阳县
46,衡东县
47,衡山县
48,南岳区
49,雁峰区
50,珠晖区
51,蒸湘区
52,石鼓区
53,洪江市
54,湘乡市
55,通道侗族自治县
56,韶山市
57,靖州苗族侗族自治县
58,芷江侗族自治县
59,中方县
60,辰溪县
61,沅陵县
62,会同县
63,溆浦县
64,新晃侗族自治县
65,麻阳苗族自治县
66,澧县
67,汉寿县
68,桃源县
69,临澧县
70,石门县
71,安乡县
72,鼎城区
73,武陵区
74,鹤城区
75,湘潭县
76,岳塘区
77,津市市
78,雨湖区
79,醴陵市
80,江华瑶族自治县
81,东安县
82,道县
83,双牌县
84,宁远县
85,江永县
86,新田县
87,蓝山县
88,零陵区
89,冷水滩区
90,祁阳市
91,湘阴县
92,华容县
93,平江县
94,岳阳县
95,君山区
96,岳阳楼区
97,云溪区
98,茶陵县
99,攸县
100,炎陵县
101,天元区
102,渌口区
103,临湘市
104,汨罗市
105,荷塘区
106,石峰区
107,芦淞区
108,浏阳市
109,宁乡市
110,桂阳县
111,永兴县
112,宜章县
113,临武县
114,嘉禾县
115,桂东县
116,汝城县
117,安仁县
118,苏仙区
119,北湖区
120,长沙县
121,资兴市
