x,y
21.449895,49.243890
99.544646,42.485026
2.697630,44.711217
21.347892,31.050180
47.608318,6.830815
62.946661,6.228932
71.725311,47.533605
80.912489,40.758115
95.156719,47.767335
13.209462,33.105792
2.011307,39.114623
91.974345,18.900703
92.899343,27.271815
97.335450,11.680520
75.105572,15.729249
60.103396,45.236290
93.204499,5.612971
49.527778,38.214290
61.291395,13.005015
73.947701,36.975700
23.106552,24.273351
60.806303,40.274733
75.396849,33.624951
70.394791,17.624709
77.135111,29.340511
24.651215,19.063672
48.523371,0.394492
89.234865,25.475019
53.896020,20.902523
56.623589,30.212515
73.114592,4.916371
20.564704,27.228780
38.994936,35.475988
78.397172,8.781845
93.645927,29.573824
68.918371,46.193335
84.334961,3.495600
11.167486,44.005071
29.756687,39.485053
49.092189,9.999709
27.482786,17.556906
1.090814,27.326622
72.884238,18.913503
84.222323,40.245188
10.031463,13.959193
52.061193,10.765406
80.859323,42.404582
22.605691,3.846846
13.394130,44.505197
70.069713,0.302500
34.381688,43.727111
9.706594,28.779561
5.560803,23.738638
99.453488,19.989359
18.409177,43.425708
22.879124,28.227866
35.469126,10.872856
70.609789,40.614420
72.982555,42.014974
81.457018,4.927269
80.962687,7.869827
58.882543,6.734940
93.944049,34.535460
21.057038,1.024905
52.673193,8.241519
47.457914,24.094218
6.685246,2.606079
48.767828,39.162437
85.569495,22.801406
82.608271,27.728990
15.042007,19.054596
49.815900,48.476142
42.292457,35.461535
48.473257,8.158527
10.417716,14.849964
71.410034,23.778630
96.975325,42.680391
48.955869,41.680301
64.662962,33.142704
63.475479,23.363374
9.729479,15.916221
59.359583,36.091040
28.245206,13.767112
36.133542,6.847676
82.865559,49.205965
57.409339,11.132010
63.175193,32.641545
34.607747,42.499772
11.006788,11.832660
13.259276,31.241447
36.483430,5.889629
78.896459,45.292871
84.908226,36.545161
64.883417,49.888621
38.790735,19.646912
39.235879,24.416374
21.524979,32.362580
23.603015,44.026950
42.496329,30.678306
12.561557,0.768777
53.734372,29.359713
48.338136,9.346316
45.628316,34.561351
33.545005,24.457964
52.006583,9.954579
37.932990,38.154316
60.983046,33.096833
55.659201,32.227732
66.915474,20.822782
64.493172,12.435533
35.884221,21.662052
33.025910,15.172459
48.843471,38.490304
36.322732,31.331761
35.153676,15.802832
46.587500,39.557877
51.638688,43.630745
41.285675,33.079526
59.267435,30.113739
34.847981,23.195536
61.971841,38.144806
66.382398,24.850646
50.614911,11.915934
63.723904,12.815483
32.741627,23.504406
47.806049,19.113435
51.003712,36.307464
46.405978,41.887172
32.325568,26.600221
40.254771,11.204612
42.683591,10.403767
60.353855,16.684722
38.463758,22.875951
43.225456,24.995548
55.664525,29.296699
52.224791,19.782345
46.577480,9.950461
46.572932,38.128827
61.767153,30.744447
42.601750,19.038491
53.336183,23.879306
64.178535,17.623959
54.938238,32.247893
60.699272,21.349587
58.791885,13.300817
59.308739,36.873199
41.106881,37.628774
34.867271,20.032904
42.797507,17.689514
60.125460,9.530488
47.174568,16.069667
39.123458,31.827789
32.699459,15.181907
45.919460,26.886357
42.548884,35.755647
36.273855,13.511567
41.931543,30.498130
36.160631,29.553357
53.875763,37.130770
42.099574,18.217464
60.073021,41.766861
66.762783,20.832591
53.164522,28.433785
48.263616,33.150107
58.189304,28.199510
63.376801,34.495993
46.672052,41.119285
45.709365,40.976063
68.218552,17.324562
56.489524,20.262819
45.990918,24.693415
37.444372,15.754274
69.487788,21.210891
59.801370,23.400210
52.278304,7.223030
63.241978,19.088257
66.808255,35.445450
67.347674,31.114286
43.171331,20.388503
60.361943,25.519743
17.130897,21.274511
15.091093,26.287719
22.917540,17.626410
22.796236,16.686858
22.320491,21.421913
19.139678,13.093664
7.555915,19.341182
27.076571,16.216523
13.910563,13.880922
21.600295,24.117227
28.779187,28.888396
22.578716,21.390520
18.451881,26.034218
24.164839,17.804061
25.890456,13.590291
26.098413,13.299807
19.256492,21.119314
23.622726,16.760832
19.930503,19.464510
19.184296,11.544282
16.029038,16.160384
22.482655,13.106653
22.795059,22.564314
22.581855,18.004943
8.588189,23.333707
11.965831,10.423000
19.210329,21.379448
22.371967,19.412141
20.502277,27.472125
22.448830,20.505845
51.679636,39.005124
54.972961,27.977082
60.955860,27.838301
58.881466,31.432879
59.716255,28.093222
64.615235,26.082862
65.000961,22.660364
59.951301,32.948572
61.537853,27.234641
62.831865,36.613690
53.342685,34.324386
68.358683,17.111845
58.884700,30.387757
66.649392,37.815682
68.304843,29.371004
60.420936,20.968495
57.415665,37.064249
56.602281,30.693569
56.652214,26.849470
49.593937,34.839245
64.020375,28.098672
62.553312,32.800930
59.590559,20.548567
54.107012,40.051685
61.559168,25.251557
61.705898,35.663027
58.758229,34.449899
51.571284,21.249735
60.776818,27.127175
78.363999,29.377096
38.317021,61.108883
44.357490,59.511358
46.038574,54.762340
44.167492,66.120987
38.200691,51.181604
36.372144,59.114279
41.506728,50.788575
37.780032,60.693040
41.557602,52.465896
36.248451,56.658901
38.088363,67.844699
44.942565,62.969577
40.527143,60.268394
38.504304,46.629392
41.632476,47.808170
47.119936,62.395985
41.431371,53.039382
46.370671,63.151317
42.131880,58.507366
43.185739,69.429556
34.126706,55.437348
41.896343,53.447294
40.932522,50.369275
40.656304,53.692905
31.998647,63.934249
31.799185,61.820515
39.702897,73.734004
47.775916,63.860591
40.088432,60.630566
33.922892,59.415084
